"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"21",255,257,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165774;n_6847615-n_6847627;p_28;#=ew_69_150394;prefix=01268-;[0]=ew_0_1296740","mutu","moata","ra:tou","moata","moata","oa",314.376,314.666,"moata oa","moata","moata","oa",FALSE,"yes",1,"yes","M","M",314.405,502,637,314.434,450,629,314.463,452,654,314.492,520,646,314.521,574,746,314.55,578,827,314.579,629,925,314.608,655,1004,314.637,611,995,""
"22",257,259,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165717;n_6847706-n_6847720;p_28;#=ew_69_150415;prefix=01287-;[0]=ew_0_1296343","te","akoako","i","akoako","akoako","oa",346.849,347.059,"akoako oa","akoako","akoako","oa",FALSE,"no",2,"yes","M","M",346.87,450,702,346.891,456,702,346.912,456,722,346.933,493,750,346.954,525,785,346.975,584,791,346.996,630,840,347.017,610,822,347.038,608,844,""
"23",281,283,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165749;n_6846989-n_6846999;p_28;#=ew_69_150237;prefix=01370-;[0]=ew_0_1296998","te","katoa","mehemea","katoa","katoa","oa",113.123,113.343,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",113.145,494,991,113.167,465,895,113.189,464,785,113.211,473,783,113.233,520,816,113.255,542,913,113.277,567,953,113.299,667,932,113.321,732,1088,""
"24",296,298,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165775;n_6847349-n_6847359;p_28;#=ew_69_150331;prefix=01456-;[0]=ew_0_1296738","aa","taihoa","ka","taihoa","taihoa","oa",217.687,217.867,"taihoa oa","taihoa","taihoa","oa",TRUE,"no",3,"no","M","M",217.705,449,828,217.723,456,840,217.741,517,891,217.759,543,926,217.777,587,942,217.795,612,941,217.813,623,931,217.831,684,892,217.849,642,1038,""
"25",303,305,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165788;n_6847430-n_6847442;p_28;#=ew_69_150358;prefix=01483-;[0]=ew_0_1296472","mea","katoa","nanakia","katoa","katoa","oa",242.308,242.678,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",242.345,451,791,242.382,451,718,242.419,451,742,242.456,470,790,242.493,478,810,242.53,517,859,242.567,554,921,242.604,542,919,242.641,494,952,""
"26",311,313,"MAONZE","K001M","PresentElder","M","g_1945;em_12_165863;n_6847930-n_6847942;p_28;#=ew_69_151128;prefix=01529-;[0]=ew_0_1297221","waahi","katoa","mehemea","katoa","katoa","oa",59.926,60.126,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",59.946,499,934,59.966,489,883,59.986,465,825,60.006,465,814,60.026,475,821,60.046,489,840,60.066,497,891,60.086,592,877,60.106,571,1114,""
"27",336,338,"MAONZE","K001M","PresentElder","M","g_1945;em_12_165926;n_6848423-n_6848434;p_28;#=ew_69_151256;prefix=01640-;[0]=ew_0_1297934","mahi","akoako","na:","akoako","akoako","oa",178.849,179.039,"akoako oa","akoako","akoako","oa",FALSE,"no",2,"yes","M","M",178.868,438,719,178.887,422,737,178.906,439,739,178.925,485,716,178.944,519,705,178.963,512,816,178.982,596,798,179.001,602,789,179.02,447,779,""
"28",355,357,"MAONZE","K001M","PresentElder","M","g_5;em_12_142;n_30811-n_30812;p_28;#=ew_69_150844;prefix=01718-;[0]=ew_0_1977","hee","katoa","te","katoa","katoa","oa",13.964,14.154,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",13.983,452,906,14.002,465,832,14.021,455,801,14.04,479,858,14.059,486,885,14.078,518,921,14.097,513,921,14.116,481,950,14.135,491,966,""
"29",391,393,"MAONZE","K001M","PresentElder","M","g_4;em_12_120;n_30791-n_30792;p_28;#=ew_69_150774;prefix=01975-;[0]=ew_0_1821","mea","katoa","kua","katoa","katoa","oa",36.489,36.629,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",36.503,475,1154,36.517,506,1101,36.531,564,1147,36.545,539,1210,36.559,417,1162,36.573,629,1811,36.587,691,1870,36.601,684,1565,36.615,654,1481,""
"30",428,432,"MAONZE","K002M","PresentElder","M","g_15;em_12_1221;n_31849-n_31850;p_19;#=ew_69_151489;prefix=02172-;[0]=ew_0_10547","i","roa","te","roa","roa","oa",291.661,292.131,"roa oa","roa","roa","oa",TRUE,"yes",1,"no","M","M",291.708,471,976,291.755,504,925,291.802,569,970,291.849,571,1033,291.896,620,1189,291.943,623,1345,291.99,601,1459,292.037,581,1447,292.084,526,1504,""
"31",435,439,"MAONZE","K002M","PresentElder","M","g_16;em_12_1230;n_31857-n_31858;p_19;#=ew_69_152134;prefix=02196-;[0]=ew_0_10654","waa","ahakoa","kei","ahakoa","ahakoa","oa",20.022,20.472,"ahakoa oa","ahakoa","ahakoa","oa",TRUE,"no",3,"no","M","M",20.067,528,819,20.112,650,1044,20.157,713,1124,20.202,717,1096,20.247,702,1097,20.292,736,1213,20.337,733,1243,20.382,778,1251,20.427,684,1302,""
"32",460,464,"MAONZE","K002M","PresentElder","M","g_16;em_12_1274;n_31901-n_31902;p_19;#=ew_69_152304;prefix=02302-;[0]=ew_0_11121","tae","noa","ki","noa","noa","oa",234.17,234.28,"noa oa","noa","noa","oa",TRUE,"yes",1,"no","M","M",234.181,531,1290,234.192,560,1233,234.203,571,1218,234.214,561,1135,234.225,542,1041,234.236,532,958,234.247,494,899,234.258,456,894,234.269,428,922,""
