"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"26",108,110,"MAONZE","K001M","PresentElder","M","g_10;em_12_705;n_31352-n_31353;p_28;#=ew_69_149866;prefix=00520-;[0]=ew_0_6316","kura","kua","ti:mata","kua","kua","ua",94.909,94.979,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",94.916,425,858,94.923,432,878,94.93,438,899,94.937,450,932,94.944,460,984,94.951,466,1027,94.958,466,1074,94.965,448,1166,94.972,451,1312,""
"27",114,116,"MAONZE","K001M","PresentElder","M","g_10;em_12_713;n_31360-n_31361;p_28;#=ew_69_149906;prefix=00540-;[0]=ew_0_6390","hoki","kua","taka","kua","kua","ua",121.282,121.382,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",121.292,410,1254,121.302,441,826,121.312,464,839,121.322,507,906,121.332,521,968,121.342,527,1014,121.352,545,1089,121.362,553,1087,121.372,576,1104,""
"28",125,127,"MAONZE","K001M","PresentElder","M","g_10;em_12_735;n_31382-n_31383;p_28;#=ew_69_150015;prefix=00599-;[0]=ew_0_1230817","kua","a:hua","wareware","a:hua","a:hua","ua",199.831,199.951,"a:hua ua","a:hua","Ahua","ua",TRUE,"no",3,"no","M","M",199.843,463,1115,199.855,371,744,199.867,376,748,199.879,386,772,199.891,400,792,199.903,430,775,199.915,458,793,199.927,449,773,199.939,448,760,""
"29",127,129,"MAONZE","K001M","PresentElder","M","g_10;em_12_740;n_31387-n_31388;p_28;#=ew_69_150054;prefix=00612-;[0]=ew_0_6646","whakaata","kua","whakanga:i","kua","kua","ua",212.515,212.585,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",212.522,517,536,212.529,395,725,212.536,405,717,212.543,408,740,212.55,404,743,212.557,399,745,212.564,395,746,212.571,402,743,212.578,416,782,""
"30",129,131,"MAONZE","K001M","PresentElder","M","g_10;em_12_747;n_31394-n_31395;p_28;#=ew_69_150118;prefix=00632-;[0]=ew_0_1230915","aa","kua","pakeke","kua","kua","ua",236.388,236.498,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",236.399,389,639,236.41,403,630,236.421,409,688,236.432,443,724,236.443,468,766,236.454,453,784,236.465,458,799,236.476,479,810,236.487,485,909,""
"31",131,133,"MAONZE","K001M","PresentElder","M","g_10;em_12_754;n_31401-n_31402;p_28;#=ew_69_150153;prefix=00647-;[0]=ew_0_6773","nei","kua","ti:mata","kua","kua","ua",259.292,259.392,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",259.302,428,823,259.312,426,776,259.322,448,795,259.332,494,901,259.342,521,950,259.352,529,1009,259.362,569,1173,259.372,598,973,259.382,656,819,""
"32",136,138,"MAONZE","K001M","PresentElder","M","g_10;em_12_768;n_31415-n_31416;p_28;#=ew_69_150206;prefix=00684-;[0]=ew_0_1231052","tuu","a:huatanga","te:nei","a:huatanga","a:huatanga","ua",311.95,312.04,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M","M",311.959,437,902,311.968,434,931,311.977,426,939,311.986,447,1031,311.995,456,1133,312.004,467,1187,312.013,481,1158,312.022,460,1160,312.031,437,1231,""
"33",144,146,"MAONZE","K001M","PresentElder","M","g_9;em_12_568;n_31216-n_31217;p_28;#=ew_69_150444;prefix=00724-;[0]=ew_0_5201","taenga","tuatahi","mahi","tuatahi","tuatahi","ua",51.314,51.464,"tuatahi ua","tuatahi","tuatahi","ua",FALSE,"yes",1,"no","M","M",51.329,280,1382,51.344,331,1277,51.359,327,1134,51.374,347,1024,51.389,430,1167,51.404,461,1146,51.419,511,1181,51.434,517,1167,51.449,505,1178,""
"34",145,147,"MAONZE","K001M","PresentElder","M","g_9;em_12_573;n_31221-n_31222;p_28;#=ew_69_150463;prefix=00743-;[0]=ew_0_5243","reo","tuatahi","mo:","tuatahi","tuatahi","ua",64.596,64.716,"tuatahi ua","tuatahi","tuatahi","ua",FALSE,"yes",1,"no","M","M",64.608,542,1605,64.62,347,1265,64.632,352,1247,64.644,359,1272,64.656,382,1273,64.668,434,1258,64.68,444,1220,64.692,452,1175,64.704,462,1103,""
"35",146,148,"MAONZE","K001M","PresentElder","M","g_9;em_12_574;n_31222-n_31223;p_28;#=ew_69_150467;prefix=00747-;[0]=ew_0_5251","e","rua","ra:","rua","rua","ua",68.366,68.866,"rua ua","rua","rua","ua",TRUE,"yes",1,"no","M","M",68.416,414,868,68.466,424,1119,68.516,532,868,68.566,599,1148,68.616,627,1086,68.666,696,1195,68.716,701,1098,68.766,745,1072,68.816,640,1127,""
